,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,GHI_yesterday,GHI_Avg_Week,GHI_Avg_Month
2010-02-26 23:00:00,2010,2,26,23,0,0,0,0,2.813326597213745,2.5978637695312727,145.90061062440537,0.0,0.0,0.0
2010-02-26 23:30:00,2010,2,26,23,30,0,0,0,2.771439552307129,2.4239746093750227,150.20734865525645,0.0,0.0,0.0
2010-02-27 00:00:00,2010,2,27,0,0,0,0,0,2.729552745819092,2.2500854492187727,153.39400211436657,0.0,0.0,0.0
2010-02-27 00:30:00,2010,2,27,0,30,0,0,0,2.746005058288574,2.080743408203148,155.01918732881632,0.0,0.0,0.0
2010-02-27 01:00:00,2010,2,27,1,0,0,0,0,2.762457609176636,1.9114013671875227,154.77508757453296,0.0,0.0,0.0
2010-02-27 01:30:00,2010,2,27,1,30,0,0,0,2.7917277812957764,1.7555786132812727,152.712112113303,0.0,0.0,0.0
2010-02-27 02:00:00,2010,2,27,2,0,0,0,0,2.820997953414917,1.5997558593750227,149.19744039471706,0.0,0.0,0.0
2010-02-27 02:30:00,2010,2,27,2,30,0,0,0,2.834888458251953,1.4737487792968975,144.66834346170344,0.0,0.0,0.0
2010-02-27 03:00:00,2010,2,27,3,0,0,0,0,2.84877872467041,1.3477111816406475,139.4724719753406,0.0,0.0,0.0
2010-02-27 03:30:00,2010,2,27,3,30,0,0,0,2.8470780849456787,1.2523437500000227,133.84548382819702,0.0,0.0,0.0
2010-02-27 04:00:00,2010,2,27,4,0,0,0,0,2.8453774452209477,1.1569763183593975,127.9399925547013,0.0,0.0,0.0
2010-02-27 04:30:00,2010,2,27,4,30,0,0,0,2.8354892730712886,1.0683227539062727,121.85590442621626,0.0,0.0,0.0
2010-02-27 05:00:00,2010,2,27,5,0,0,0,0,2.825600862503052,0.9796386718750228,115.66134352399281,0.0,0.0,0.0
2010-02-27 05:30:00,2010,2,27,5,30,0,0,0,2.822997093200684,0.8976379394531477,109.40566238888508,0.0,0.0,0.0
2010-02-27 06:00:00,2010,2,27,6,0,0,0,0,2.8203933238983154,0.8156372070312727,103.12747383710007,0.0,0.0,0.0
2010-02-27 06:30:00,2010,2,27,6,30,0,0,0,2.8367280960083012,1.6534973144531475,96.8598355674645,0.0,0.0,0.0
2010-02-27 07:00:00,2010,2,27,7,0,0,0,0,2.853062868118286,2.491387939453148,90.62881596034279,0.0,0.0,0.0
2010-02-27 07:30:00,2010,2,27,7,30,62,37,261,2.70300817489624,3.9079223632812727,84.48046063706752,9.0,19.571428571428573,11.466666666666667
2010-02-27 08:00:00,2010,2,27,8,0,163,59,518,2.552953720092773,5.324456787109399,78.43912973441455,26.0,54.0,58.5
2010-02-27 08:30:00,2010,2,27,8,30,273,75,661,2.383566379547119,7.170526123046898,72.55020861051288,45.0,109.14285714285714,98.5
2010-02-27 09:00:00,2010,2,27,9,0,382,87,751,2.214179039001465,9.0165954589844,66.8673319316436,25.0,145.85714285714286,134.2
2010-02-27 09:30:00,2010,2,27,9,30,484,96,813,2.291630744934082,10.90947875976565,61.45872485510865,21.0,164.71428571428572,159.4
2010-02-27 10:00:00,2010,2,27,10,0,577,103,856,2.36908221244812,12.802331542968775,56.41265829661446,33.0,228.28571428571428,201.66666666666666
2010-02-27 10:30:00,2010,2,27,10,30,657,108,887,2.426677227020264,13.97124633789065,51.84297083826675,50.0,255.57142857142858,243.5
2010-02-27 11:00:00,2010,2,27,11,0,722,113,909,2.4842722415924072,15.1401306152344,47.89274104259754,51.0,256.7142857142857,250.9
2010-02-27 11:30:00,2010,2,27,11,30,772,116,923,2.5082874298095703,15.805200195312526,44.731586212333966,57.0,302.85714285714283,300.96666666666664
2010-02-27 12:00:00,2010,2,27,12,0,805,118,932,2.5323028564453125,16.470300292968773,42.539637835823115,44.0,333.85714285714283,303.0
2010-02-27 12:30:00,2010,2,27,12,30,820,119,935,2.499171733856201,16.784509277343773,41.473329419979436,59.0,345.57142857142856,310.26666666666665
2010-02-27 13:00:00,2010,2,27,13,0,817,119,934,2.466040849685669,17.098687744140648,41.620365106538046,56.0,393.2857142857143,342.23333333333335
2010-02-27 13:30:00,2010,2,27,13,30,797,117,928,2.407548427581787,17.117456054687526,42.96807889275833,55.0,329.57142857142856,330.6333333333333
2010-02-27 14:00:00,2010,2,27,14,0,759,115,916,2.349055767059326,17.136224365234398,45.40827770133149,39.0,277.57142857142856,310.7
2010-02-27 14:30:00,2010,2,27,14,30,704,112,898,2.2710089683532715,16.834283447265648,48.77477037627837,68.0,254.71428571428572,282.3666666666667
2010-02-27 15:00:00,2010,2,27,15,0,634,107,873,2.192962408065796,16.532342529296898,52.88747067810502,62.0,218.85714285714286,247.36666666666667
2010-02-27 15:30:00,2010,2,27,15,30,552,102,839,2.059388875961304,15.91716918945315,57.58225408470611,31.0,174.42857142857142,210.43333333333334
2010-02-27 16:00:00,2010,2,27,16,0,458,94,793,1.9258154630661009,15.3019958496094,62.723112907136155,63.0,139.57142857142858,167.5
2010-02-27 16:30:00,2010,2,27,16,30,355,84,730,1.6921405792236328,14.0393005371094,68.20274806000421,38.0,108.0,133.73333333333332
2010-02-27 17:00:00,2010,2,27,17,0,248,70,642,1.458465576171875,12.7766052246094,73.93814397817873,37.0,71.71428571428571,87.06666666666666
2010-02-27 17:30:00,2010,2,27,17,30,143,50,531,1.440461039543152,11.5591979980469,79.86496435602025,21.0,86.28571428571429,71.23333333333333
2010-02-27 18:00:00,2010,2,27,18,0,0,0,0,1.4224565029144287,10.3417907714844,85.93213638269539,0.0,0.0,0.0
2010-02-27 18:30:00,2010,2,27,18,30,0,0,0,1.5473697185516355,9.91399536132815,92.10200437924749,0.0,0.0,0.0
2010-02-27 19:00:00,2010,2,27,19,0,0,0,0,1.6722828149795532,9.486230468750025,98.33485575874478,0.0,0.0,0.0
2010-02-27 19:30:00,2010,2,27,19,30,0,0,0,1.8584084510803225,9.1372009277344,104.60049702643956,0.0,0.0,0.0
2010-02-27 20:00:00,2010,2,27,20,0,0,0,0,2.044534206390381,8.788140869140648,110.86717966607372,0.0,0.0,0.0
