,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,GHI_yesterday,GHI_Avg_Week,GHI_Avg_Month
2010-02-12 13:00:00,2010,2,12,13,0,87,87,0,2.2223429679870605,6.103631591796898,46.92898022894122,33.0,280.42857142857144,320.03333333333336
2010-02-12 14:00:00,2010,2,12,14,0,87,87,0,2.124737024307251,6.498223876953148,50.237596625383176,36.0,285.42857142857144,291.8333333333333
2010-02-12 15:00:00,2010,2,12,15,0,62,62,0,1.99727463722229,6.418969726562523,57.04494129934985,11.0,234.28571428571428,246.03333333333333
2010-02-12 16:00:00,2010,2,12,16,0,40,40,0,1.7794986963272097,5.361810302734399,66.26220980203611,50.0,174.28571428571428,153.0
2010-02-12 17:00:00,2010,2,12,17,0,44,44,0,1.3066943883895874,3.2765747070312727,76.9993461068573,15.0,61.714285714285715,67.83333333333333
2010-02-12 18:00:00,2010,2,12,18,0,0,0,0,0.9363911747932434,2.4486022949218977,88.6616011860932,0.0,0.0,0.0
2010-02-12 19:00:00,2010,2,12,19,0,0,0,0,0.8171692490577698,1.8388305664062727,100.87432885601713,0.0,0.0,0.0
2010-02-12 20:00:00,2010,2,12,20,0,0,0,0,0.8997750282287598,1.1344543457031475,113.35730721350687,0.0,0.0,0.0
2010-02-12 21:00:00,2010,2,12,21,0,0,0,0,1.0937556028366089,0.5894409179687727,125.87030429266387,0.0,0.0,0.0
2010-02-12 22:00:00,2010,2,12,22,0,0,0,0,1.3941785097122192,0.09536132812502274,138.09004443285022,0.0,0.0,0.0
2010-02-12 23:00:00,2010,2,12,23,0,0,0,0,1.7508293390274048,-0.4853271484374773,149.36102742775918,0.0,0.0,0.0
2010-02-13 00:00:00,2010,2,13,0,0,0,0,0,2.1481468677520748,-0.9430603027343524,157.91381614596568,0.0,0.0,0.0
2010-02-13 01:00:00,2010,2,13,1,0,0,0,0,2.5592849254608154,-1.2697814941406025,159.77438263656794,0.0,0.0,0.0
2010-02-13 02:00:00,2010,2,13,2,0,0,0,0,2.850391387939453,-1.2248596191406025,153.4749553717586,0.0,0.0,0.0
2010-02-13 03:00:00,2010,2,13,3,0,0,0,0,2.8594560623168945,-1.1442016601562273,143.01352339409394,0.0,0.0,0.0
2010-02-13 04:00:00,2010,2,13,4,0,0,0,0,2.783698081970215,-1.1296752929687273,131.06985199315776,0.0,0.0,0.0
2010-02-13 05:00:00,2010,2,13,5,0,0,0,0,2.8616297245025635,-1.4830993652343525,118.61962610885578,0.0,0.0,0.0
2010-02-13 06:00:00,2010,2,13,6,0,0,0,0,2.9248275756835938,-1.6490234374999773,106.07746782822431,0.0,0.0,0.0
2010-02-13 07:00:00,2010,2,13,7,0,0,0,0,3.0068066120147705,-1.6313842773437273,93.70220237217896,0.0,0.0,0.0
2010-02-13 08:00:00,2010,2,13,8,0,109,46,437,2.9928953647613525,-0.4985412597656023,81.74031647402208,104.0,53.57142857142857,41.16666666666666
2010-02-13 09:00:00,2010,2,13,9,0,39,39,0,3.0065126419067383,1.1923461914062727,70.51703582594253,312.0,145.0,124.43333333333334
2010-02-13 10:00:00,2010,2,13,10,0,68,68,0,3.3433830738067627,3.2383972167968977,60.5192725764947,92.0,159.42857142857142,194.03333333333333
2010-02-13 11:00:00,2010,2,13,11,0,154,154,0,3.461517810821533,5.653619384765648,52.50717342210222,78.0,189.85714285714286,272.9
2010-02-13 12:00:00,2010,2,13,12,0,237,229,12,3.572403907775879,7.419305419921898,47.5317642639474,110.0,228.28571428571428,297.96666666666664
2010-02-13 13:00:00,2010,2,13,13,0,377,322,80,3.589024782180786,9.40764770507815,46.594459312175815,87.0,216.85714285714286,308.6333333333333
2010-02-13 14:00:00,2010,2,13,14,0,692,100,919,3.4710052013397217,10.0538269042969,49.92591386247466,87.0,204.42857142857144,283.06666666666666
2010-02-13 15:00:00,2010,2,13,15,0,571,92,874,3.2630889415740967,10.282067871093775,56.77008086591686,62.0,166.42857142857142,239.0
2010-02-13 16:00:00,2010,2,13,16,0,400,79,789,2.9409408569335938,9.25701293945315,66.02384599759317,40.0,127.28571428571428,153.4
2010-02-13 17:00:00,2010,2,13,17,0,199,55,629,2.9126217365264893,7.158319091796898,76.79084917676579,44.0,43.42857142857143,69.0
2010-02-13 18:00:00,2010,2,13,18,0,0,0,0,3.045881509780884,5.352075195312524,88.47514731476555,0.0,0.0,0.0
